time,timestamp,actionEye,actionUpperFace,powerUpperFace,actionLowerFace,powerLowerFace
1722054295.7887,2024-07-26 21:24:55.788,neutral,frown,0.95,clench,0.8
1722054295.8199,2024-07-26 21:24:55.819,neutral,frown,0.95,clench,0.8
1722054295.8512,2024-07-26 21:24:55.851,neutral,frown,0.95,clench,0.8
1722054295.8824,2024-07-26 21:24:55.882,neutral,frown,0.95,clench,0.8
1722054295.9137,2024-07-26 21:24:55.913,neutral,frown,0.95,clench,0.8
1722054295.9449,2024-07-26 21:24:55.944,neutral,frown,0.95,clench,0.8
1722054295.9762,2024-07-26 21:24:55.976,neutral,frown,0.95,clench,0.8
1722054296.0074,2024-07-26 21:24:56.007,neutral,frown,0.95,clench,0.8
1722054296.0387,2024-07-26 21:24:56.038,neutral,frown,0.95,clench,0.8
1722054296.0699,2024-07-26 21:24:56.069,neutral,frown,0.95,clench,0.8
1722054296.1012,2024-07-26 21:24:56.101,neutral,frown,0.95,clench,0.8
1722054296.1324,2024-07-26 21:24:56.132,neutral,frown,0.95,clench,0.8
1722054296.1637,2024-07-26 21:24:56.163,neutral,frown,0.95,clench,0.8
1722054296.1949,2024-07-26 21:24:56.194,neutral,frown,0.95,clench,0.8
1722054296.2262,2024-07-26 21:24:56.226,neutral,frown,0.95,clench,0.8
1722054296.2574,2024-07-26 21:24:56.257,neutral,frown,0.95,clench,0.8
1722054296.2887,2024-07-26 21:24:56.288,neutral,frown,0.95,clench,0.8
1722054296.3199,2024-07-26 21:24:56.319,neutral,frown,0.95,clench,0.8
1722054296.3512,2024-07-26 21:24:56.351,neutral,frown,0.95,clench,0.8
1722054296.3824,2024-07-26 21:24:56.382,neutral,frown,0.95,clench,0.8
1722054296.4137,2024-07-26 21:24:56.413,neutral,frown,0.95,clench,0.8
1722054296.4449,2024-07-26 21:24:56.444,neutral,frown,0.95,clench,0.8
1722054296.4762,2024-07-26 21:24:56.476,neutral,frown,0.95,clench,0.8
1722054296.5074,2024-07-26 21:24:56.507,neutral,frown,0.95,clench,0.8
1722054296.5387,2024-07-26 21:24:56.538,neutral,frown,0.95,clench,0.8
1722054296.5699,2024-07-26 21:24:56.569,neutral,frown,0.95,clench,0.8
1722054296.6012,2024-07-26 21:24:56.601,neutral,frown,0.95,clench,0.8
1722054296.6324,2024-07-26 21:24:56.632,neutral,frown,0.95,clench,0.8
1722054296.6637,2024-07-26 21:24:56.663,neutral,frown,0.95,clench,0.8
1722054296.6949,2024-07-26 21:24:56.694,neutral,frown,0.95,clench,0.8
1722054296.7262,2024-07-26 21:24:56.726,neutral,frown,0.95,clench,0.8
1722054296.7574,2024-07-26 21:24:56.757,neutral,frown,0.95,clench,0.8
1722054296.7887,2024-07-26 21:24:56.788,neutral,frown,0.95,clench,0.8
1722054296.8199,2024-07-26 21:24:56.819,neutral,frown,0.95,clench,0.8
1722054296.8512,2024-07-26 21:24:56.851,neutral,frown,0.95,clench,0.8
1722054296.8824,2024-07-26 21:24:56.882,neutral,frown,0.95,clench,0.8
1722054296.9137,2024-07-26 21:24:56.913,neutral,frown,0.95,clench,0.8
1722054296.9449,2024-07-26 21:24:56.944,neutral,frown,0.95,clench,0.8
1722054296.9762,2024-07-26 21:24:56.976,neutral,frown,0.95,clench,0.8
1722054297.0074,2024-07-26 21:24:57.007,neutral,frown,0.95,clench,0.8
1722054297.0387,2024-07-26 21:24:57.038,neutral,frown,0.95,clench,0.8
1722054297.0699,2024-07-26 21:24:57.069,neutral,frown,0.95,clench,0.8
1722054297.1012,2024-07-26 21:24:57.101,neutral,frown,0.95,clench,0.8
1722054297.1324,2024-07-26 21:24:57.132,neutral,frown,0.95,clench,0.8
1722054297.1637,2024-07-26 21:24:57.163,neutral,frown,0.95,clench,0.8
1722054297.1949,2024-07-26 21:24:57.194,neutral,frown,0.95,clench,0.8
1722054297.2262,2024-07-26 21:24:57.226,neutral,frown,0.95,clench,0.8
1722054297.2574,2024-07-26 21:24:57.257,neutral,frown,0.95,clench,0.8
1722054297.2887,2024-07-26 21:24:57.288,neutral,frown,0.95,clench,0.8
1722054297.3199,2024-07-26 21:24:57.319,neutral,frown,0.95,clench,0.8
1722054297.3512,2024-07-26 21:24:57.351,neutral,frown,0.95,clench,0.8
1722054297.3824,2024-07-26 21:24:57.382,neutral,frown,0.95,clench,0.8
1722054297.4137,2024-07-26 21:24:57.413,neutral,frown,0.95,clench,0.8
1722054297.4449,2024-07-26 21:24:57.444,neutral,frown,0.95,clench,0.8
1722054297.4762,2024-07-26 21:24:57.476,neutral,frown,0.95,clench,0.8
1722054297.5074,2024-07-26 21:24:57.507,neutral,frown,0.95,clench,0.8
1722054297.5387,2024-07-26 21:24:57.538,neutral,frown,0.95,clench,0.8
1722054297.5699,2024-07-26 21:24:57.569,neutral,frown,0.95,clench,0.8
1722054297.6012,2024-07-26 21:24:57.601,neutral,frown,0.95,clench,0.8
1722054297.6324,2024-07-26 21:24:57.632,neutral,frown,0.95,clench,0.8
1722054297.6637,2024-07-26 21:24:57.663,neutral,frown,0.95,clench,0.8
1722054297.6949,2024-07-26 21:24:57.694,neutral,frown,0.95,clench,0.8
1722054297.7262,2024-07-26 21:24:57.726,neutral,frown,0.95,clench,0.8
1722054297.7574,2024-07-26 21:24:57.757,neutral,frown,0.95,clench,0.8
1722054297.7887,2024-07-26 21:24:57.788,neutral,frown,0.95,clench,0.8
1722054297.8199,2024-07-26 21:24:57.819,neutral,frown,0.95,clench,0.8
1722054297.8512,2024-07-26 21:24:57.851,neutral,frown,0.95,clench,0.8
1722054297.8824,2024-07-26 21:24:57.882,neutral,frown,0.95,clench,0.8
1722054297.9137,2024-07-26 21:24:57.913,neutral,frown,0.95,clench,0.8
1722054297.9449,2024-07-26 21:24:57.944,neutral,frown,0.95,clench,0.8
1722054297.9762,2024-07-26 21:24:57.976,neutral,frown,0.95,clench,0.8
1722054298.0074,2024-07-26 21:24:58.007,neutral,frown,0.95,clench,0.8
1722054298.0387,2024-07-26 21:24:58.038,neutral,frown,0.95,clench,0.8
1722054298.0699,2024-07-26 21:24:58.069,neutral,frown,0.95,clench,0.8
1722054298.1012,2024-07-26 21:24:58.101,neutral,frown,0.95,clench,0.8
1722054298.1324,2024-07-26 21:24:58.132,neutral,frown,0.95,clench,0.8
